iter	Passed	Remaining
0	175	175124
1	188	93896
2	201	66832
3	213	53106
4	222	44343
5	235	39039
6	248	35255
7	261	32395
8	272	29987
9	284	28132
10	298	26812
11	311	25674
12	324	24616
13	335	23645
14	347	22831
15	361	22231
16	373	21606
17	385	21020
18	398	20554
19	413	20238
20	428	19953
21	441	19620
22	453	19268
23	464	18882
24	477	18625
25	490	18380
26	502	18098
27	513	17815
28	526	17621
29	539	17450
30	552	17261
31	564	17081
32	577	16911
33	588	16721
34	600	16567
35	611	16370
36	624	16254
37	637	16129
38	648	15979
39	659	15831
40	670	15679
41	682	15571
42	692	15421
43	704	15302
44	717	15232
45	730	15145
46	744	15091
47	758	15035
48	770	14957
49	783	14877
50	800	14890
51	813	14833
52	828	14799
53	843	14785
54	860	14784
55	874	14746
56	887	14684
57	899	14607
58	911	14538
59	926	14511
60	938	14454
61	950	14381
62	962	14316
63	974	14253
64	988	14214
65	1001	14179
66	1011	14085
67	1022	14011
68	1033	13949
69	1043	13868
70	1054	13793
71	1065	13735
72	1076	13674
73	1087	13609
74	1097	13537
75	1109	13491
76	1119	13417
77	1129	13354
78	1141	13304
79	1151	13239
80	1162	13186
81	1173	13140
82	1183	13073
83	1196	13052
84	1212	13049
85	1225	13023
86	1239	13004
87	1253	12993
88	1266	12965
89	1280	12944
90	1293	12919
91	1311	12947
92	1324	12918
93	1339	12912
94	1350	12860
95	1362	12828
96	1375	12807
97	1387	12774
98	1398	12729
99	1411	12702
100	1422	12662
101	1432	12612
102	1443	12569
103	1453	12523
104	1463	12473
105	1474	12435
106	1485	12397
107	1494	12344
108	1505	12306
109	1516	12266
110	1525	12221
111	1536	12184
112	1547	12147
113	1557	12102
114	1568	12071
115	1580	12044
116	1591	12013
117	1603	11984
118	1614	11951
119	1624	11909
120	1635	11879
121	1646	11848
122	1656	11812
123	1667	11783
124	1678	11747
125	1688	11710
126	1699	11678
127	1708	11640
128	1719	11606
129	1732	11592
130	1742	11557
131	1755	11544
132	1768	11528
133	1787	11553
134	1809	11593
135	1820	11567
136	1834	11554
137	1848	11545
138	1861	11527
139	1873	11508
140	1886	11492
141	1900	11480
142	1914	11472
143	1931	11483
144	1947	11483
145	1961	11472
146	1974	11455
147	1985	11429
148	2001	11430
149	2015	11422
150	2028	11407
151	2042	11392
152	2056	11383
153	2068	11362
154	2081	11348
155	2095	11335
156	2108	11324
157	2122	11310
158	2134	11288
159	2148	11278
160	2160	11257
161	2173	11245
162	2189	11245
163	2202	11227
164	2213	11203
165	2227	11188
166	2241	11182
167	2255	11171
168	2269	11159
169	2282	11143
170	2296	11132
171	2311	11128
172	2326	11123
173	2341	11113
174	2356	11109
175	2372	11106
176	2389	11109
177	2405	11107
178	2419	11098
179	2434	11088
180	2446	11069
181	2458	11050
182	2473	11043
183	2488	11036
184	2501	11019
185	2514	11003
186	2525	10981
187	2539	10969
188	2553	10957
189	2566	10941
190	2579	10925
191	2591	10906
192	2604	10891
193	2618	10878
194	2632	10868
195	2645	10853
196	2657	10830
197	2670	10818
198	2685	10809
199	2699	10799
200	2714	10792
201	2728	10778
202	2741	10762
203	2753	10745
204	2768	10738
205	2783	10727
206	2797	10716
207	2813	10711
208	2830	10712
209	2844	10699
210	2857	10686
211	2869	10666
212	2882	10651
213	2897	10640
214	2910	10627
215	2922	10608
216	2933	10583
217	2945	10566
218	2959	10552
219	2971	10536
220	2984	10518
221	2997	10504
222	3011	10493
223	3026	10484
224	3039	10468
225	3050	10448
226	3063	10430
227	3075	10414
228	3088	10398
229	3102	10385
230	3113	10363
231	3126	10350
232	3141	10339
233	3155	10330
234	3170	10322
235	3184	10307
236	3196	10289
237	3211	10282
238	3226	10272
239	3239	10257
240	3253	10247
241	3267	10235
242	3281	10222
243	3293	10204
244	3307	10192
245	3322	10182
246	3336	10170
247	3351	10164
248	3369	10162
249	3383	10151
250	3402	10153
251	3415	10138
252	3425	10114
253	3436	10093
254	3447	10071
255	3456	10046
256	3467	10026
257	3480	10008
258	3490	9986
259	3501	9966
260	3512	9945
261	3522	9921
262	3534	9904
263	3545	9884
264	3554	9859
265	3565	9837
266	3581	9832
267	3592	9812
268	3604	9794
269	3615	9775
270	3626	9756
271	3637	9736
272	3648	9716
273	3659	9696
274	3670	9676
275	3681	9656
276	3694	9642
277	3704	9620
278	3718	9610
279	3732	9597
280	3748	9590
281	3761	9577
282	3776	9567
283	3791	9558
284	3806	9548
285	3818	9533
286	3830	9514
287	3843	9501
288	3854	9482
289	3866	9465
290	3877	9447
291	3891	9434
292	3905	9424
293	3918	9410
294	3930	9392
295	3941	9375
296	3954	9360
297	3968	9348
298	3980	9332
299	3996	9324
300	4007	9306
301	4020	9292
302	4034	9280
303	4046	9263
304	4057	9245
305	4070	9232
306	4084	9220
307	4097	9205
308	4110	9191
309	4121	9174
310	4136	9163
311	4150	9151
312	4163	9137
313	4174	9121
314	4186	9104
315	4200	9092
316	4214	9081
317	4229	9069
318	4242	9056
319	4254	9041
320	4268	9028
321	4282	9016
322	4294	9001
323	4304	8980
324	4317	8967
325	4332	8957
326	4344	8941
327	4355	8923
328	4367	8908
329	4383	8898
330	4396	8886
331	4410	8874
332	4423	8859
333	4434	8842
334	4447	8829
335	4461	8816
336	4473	8801
337	4486	8787
338	4498	8771
339	4512	8758
340	4527	8749
341	4541	8737
342	4553	8721
343	4564	8704
344	4576	8688
345	4587	8671
346	4601	8658
347	4613	8643
348	4628	8633
349	4642	8621
350	4656	8610
351	4669	8596
352	4680	8578
353	4694	8567
354	4708	8555
355	4724	8546
356	4736	8531
357	4746	8511
358	4758	8495
359	4771	8482
360	4783	8467
361	4799	8457
362	4809	8439
363	4822	8426
364	4836	8413
365	4848	8398
366	4858	8380
367	4871	8366
368	4885	8354
369	4897	8338
370	4908	8321
371	4921	8308
372	4936	8297
373	4948	8282
374	4959	8265
375	4970	8249
376	4985	8239
377	4999	8226
378	5011	8211
379	5023	8196
380	5036	8182
381	5049	8169
382	5062	8155
383	5072	8137
384	5086	8124
385	5099	8111
386	5114	8101
387	5128	8090
388	5140	8074
389	5152	8059
390	5165	8045
391	5178	8032
392	5190	8017
393	5206	8007
394	5218	7993
395	5232	7981
396	5246	7968
397	5258	7953
398	5270	7938
399	5282	7923
400	5296	7911
401	5309	7897
402	5321	7882
403	5332	7866
404	5347	7855
405	5361	7844
406	5375	7832
407	5387	7817
408	5399	7802
409	5412	7788
410	5426	7776
411	5440	7765
412	5453	7750
413	5465	7735
414	5478	7722
415	5491	7709
416	5505	7696
417	5516	7680
418	5527	7664
419	5540	7650
420	5554	7639
421	5565	7623
422	5578	7608
423	5591	7596
424	5606	7585
425	5622	7575
426	5635	7563
427	5648	7549
428	5660	7534
429	5673	7520
430	5686	7507
431	5699	7494
432	5710	7477
433	5723	7464
434	5736	7450
435	5748	7436
436	5762	7423
437	5774	7409
438	5786	7394
439	5800	7382
440	5812	7368
441	5823	7352
442	5836	7338
443	5850	7326
444	5862	7311
445	5873	7295
446	5884	7280
447	5897	7266
448	5909	7252
449	5923	7239
450	5934	7223
451	5947	7211
452	5959	7196
453	5970	7180
454	5982	7166
455	5997	7155
456	6010	7141
457	6025	7130
458	6036	7114
459	6049	7101
460	6062	7088
461	6077	7077
462	6091	7065
463	6104	7051
464	6115	7035
465	6128	7022
466	6141	7008
467	6150	6991
468	6162	6977
469	6176	6965
470	6188	6951
471	6199	6934
472	6211	6920
473	6223	6906
474	6233	6889
475	6243	6872
476	6254	6857
477	6263	6840
478	6274	6824
479	6286	6809
480	6295	6792
481	6306	6777
482	6316	6761
483	6326	6744
484	6337	6729
485	6349	6714
486	6358	6697
487	6370	6683
488	6379	6666
489	6390	6651
490	6401	6636
491	6412	6620
492	6424	6606
493	6434	6591
494	6444	6574
495	6454	6559
496	6466	6544
497	6476	6528
498	6487	6513
499	6498	6498
500	6508	6482
501	6518	6466
502	6530	6452
503	6539	6436
504	6550	6420
505	6561	6406
506	6572	6390
507	6583	6376
508	6594	6361
509	6604	6345
510	6615	6330
511	6624	6314
512	6634	6298
513	6645	6283
514	6655	6267
515	6665	6251
516	6677	6237
517	6686	6222
518	6699	6209
519	6710	6193
520	6720	6178
521	6730	6163
522	6741	6148
523	6752	6133
524	6761	6117
525	6772	6103
526	6783	6088
527	6795	6074
528	6805	6058
529	6815	6044
530	6827	6029
531	6837	6014
532	6848	6000
533	6858	5985
534	6868	5970
535	6879	5955
536	6889	5940
537	6900	5925
538	6911	5911
539	6922	5896
540	6931	5881
541	6942	5866
542	6953	5852
543	6963	5837
544	6974	5822
545	6984	5807
546	6994	5792
547	7006	5778
548	7016	5763
549	7026	5748
550	7037	5734
551	7046	5718
552	7056	5704
553	7067	5689
554	7077	5674
555	7088	5660
556	7099	5646
557	7109	5631
558	7120	5617
559	7131	5603
560	7141	5588
561	7151	5573
562	7161	5558
563	7173	5545
564	7185	5531
565	7195	5517
566	7207	5504
567	7218	5490
568	7229	5475
569	7238	5460
570	7249	5447
571	7259	5431
572	7269	5417
573	7281	5404
574	7290	5388
575	7302	5375
576	7313	5361
577	7323	5347
578	7335	5333
579	7348	5321
580	7358	5306
581	7368	5292
582	7379	5278
583	7389	5263
584	7399	5249
585	7411	5235
586	7421	5221
587	7433	5208
588	7445	5195
589	7455	5180
590	7466	5166
591	7479	5154
592	7494	5143
593	7507	5131
594	7519	5118
595	7533	5106
596	7546	5094
597	7559	5081
598	7570	5067
599	7583	5055
600	7594	5042
601	7607	5029
602	7619	5016
603	7632	5003
604	7644	4991
605	7657	4978
606	7667	4964
607	7680	4951
608	7695	4940
609	7709	4928
610	7723	4917
611	7732	4902
612	7745	4889
613	7760	4878
614	7773	4866
615	7785	4853
616	7796	4839
617	7807	4826
618	7819	4813
619	7831	4799
620	7844	4787
621	7856	4774
622	7869	4761
623	7881	4748
624	7891	4735
625	7904	4722
626	7916	4709
627	7925	4694
628	7938	4682
629	7950	4669
630	7960	4655
631	7973	4642
632	7987	4630
633	8000	4618
634	8013	4606
635	8026	4593
636	8041	4582
637	8055	4570
638	8070	4559
639	8085	4547
640	8097	4534
641	8108	4521
642	8121	4509
643	8136	4497
644	8148	4485
645	8160	4471
646	8172	4458
647	8185	4446
648	8198	4433
649	8209	4420
650	8221	4407
651	8234	4395
652	8246	4382
653	8258	4368
654	8269	4355
655	8283	4343
656	8303	4335
657	8317	4323
658	8332	4311
659	8344	4298
660	8354	4284
661	8368	4272
662	8380	4260
663	8392	4246
664	8403	4233
665	8417	4221
666	8431	4209
667	8445	4197
668	8457	4184
669	8468	4171
670	8482	4159
671	8494	4146
672	8508	4134
673	8520	4121
674	8531	4107
675	8545	4095
676	8559	4083
677	8571	4070
678	8583	4057
679	8595	4045
680	8609	4032
681	8623	4020
682	8634	4007
683	8646	3994
684	8659	3982
685	8673	3969
686	8685	3957
687	8696	3943
688	8710	3931
689	8723	3919
690	8735	3906
691	8746	3892
692	8759	3880
693	8773	3868
694	8785	3855
695	8795	3841
696	8810	3830
697	8825	3818
698	8839	3806
699	8851	3793
700	8861	3779
701	8875	3767
702	8886	3754
703	8897	3741
704	8908	3727
705	8922	3715
706	8933	3702
707	8944	3688
708	8957	3676
709	8969	3663
710	8983	3651
711	8996	3639
712	9007	3625
713	9021	3613
714	9035	3601
715	9048	3589
716	9061	3576
717	9072	3563
718	9086	3551
719	9101	3539
720	9116	3527
721	9130	3515
722	9142	3502
723	9152	3489
724	9165	3476
725	9179	3464
726	9192	3452
727	9205	3439
728	9217	3426
729	9230	3414
730	9243	3401
731	9254	3388
732	9265	3375
733	9279	3362
734	9293	3350
735	9305	3337
736	9316	3324
737	9329	3312
738	9342	3299
739	9354	3286
740	9366	3273
741	9380	3261
742	9394	3249
743	9407	3237
744	9419	3224
745	9431	3211
746	9444	3198
747	9457	3186
748	9469	3173
749	9481	3160
750	9495	3148
751	9508	3135
752	9521	3123
753	9534	3110
754	9546	3097
755	9560	3085
756	9573	3073
757	9585	3060
758	9606	3050
759	9621	3038
760	9634	3025
761	9646	3012
762	9658	3000
763	9671	2987
764	9684	2974
765	9693	2961
766	9707	2948
767	9720	2936
768	9733	2923
769	9743	2910
770	9756	2897
771	9770	2885
772	9784	2873
773	9797	2860
774	9809	2847
775	9821	2834
776	9834	2822
777	9846	2809
778	9857	2796
779	9869	2783
780	9883	2771
781	9896	2758
782	9906	2745
783	9918	2732
784	9932	2720
785	9945	2707
786	9955	2694
787	9968	2681
788	9982	2669
789	9994	2656
790	10006	2643
791	10018	2631
792	10032	2618
793	10046	2606
794	10060	2594
795	10069	2580
796	10082	2568
797	10095	2555
798	10109	2543
799	10121	2530
800	10134	2517
801	10147	2505
802	10160	2492
803	10174	2480
804	10187	2467
805	10199	2454
806	10211	2442
807	10224	2429
808	10236	2416
809	10247	2403
810	10262	2391
811	10276	2379
812	10289	2366
813	10301	2353
814	10313	2341
815	10328	2328
816	10341	2316
817	10352	2303
818	10363	2290
819	10376	2277
820	10390	2265
821	10402	2252
822	10412	2239
823	10426	2227
824	10441	2214
825	10454	2202
826	10466	2189
827	10477	2176
828	10489	2163
829	10503	2151
830	10515	2138
831	10528	2125
832	10539	2112
833	10552	2100
834	10565	2087
835	10577	2075
836	10590	2062
837	10603	2049
838	10616	2037
839	10630	2024
840	10641	2011
841	10656	1999
842	10670	1987
843	10683	1974
844	10697	1962
845	10711	1949
846	10722	1936
847	10735	1924
848	10748	1911
849	10762	1899
850	10775	1886
851	10785	1873
852	10797	1860
853	10812	1848
854	10824	1835
855	10835	1822
856	10849	1810
857	10863	1797
858	10876	1785
859	10888	1772
860	10900	1759
861	10913	1747
862	10927	1734
863	10939	1721
864	10949	1708
865	10961	1696
866	10975	1683
867	10989	1671
868	10999	1658
869	11012	1645
870	11026	1633
871	11040	1620
872	11051	1607
873	11063	1594
874	11075	1582
875	11089	1569
876	11102	1557
877	11114	1544
878	11127	1531
879	11139	1519
880	11151	1506
881	11162	1493
882	11173	1480
883	11187	1468
884	11201	1455
885	11213	1442
886	11226	1430
887	11242	1417
888	11256	1405
889	11271	1393
890	11285	1380
891	11296	1367
892	11308	1355
893	11322	1342
894	11337	1330
895	11351	1317
896	11364	1304
897	11375	1292
898	11389	1279
899	11403	1267
900	11417	1254
901	11430	1241
902	11441	1229
903	11451	1216
904	11464	1203
905	11474	1190
906	11485	1177
907	11498	1165
908	11510	1152
909	11520	1139
910	11536	1127
911	11548	1114
912	11559	1101
913	11568	1088
914	11580	1075
915	11591	1062
916	11601	1050
917	11612	1037
918	11623	1024
919	11633	1011
920	11647	999
921	11658	986
922	11668	973
923	11679	960
924	11691	947
925	11701	935
926	11711	922
927	11722	909
928	11732	896
929	11744	883
930	11756	871
931	11765	858
932	11776	845
933	11789	833
934	11799	820
935	11808	807
936	11819	794
937	11830	781
938	11841	769
939	11852	756
940	11862	743
941	11872	731
942	11884	718
943	11894	705
944	11904	692
945	11916	680
946	11926	667
947	11936	654
948	11948	642
949	11958	629
950	11968	616
951	11979	604
952	11989	591
953	12000	578
954	12010	565
955	12021	553
956	12033	540
957	12043	527
958	12055	515
959	12067	502
960	12077	490
961	12088	477
962	12100	464
963	12112	452
964	12121	439
965	12133	427
966	12145	414
967	12156	401
968	12167	389
969	12179	376
970	12193	364
971	12205	351
972	12219	339
973	12233	326
974	12245	313
975	12258	301
976	12271	288
977	12284	276
978	12297	263
979	12311	251
980	12323	238
981	12335	226
982	12348	213
983	12362	201
984	12374	188
985	12385	175
986	12397	163
987	12411	150
988	12423	138
989	12434	125
990	12447	113
991	12459	100
992	12472	87
993	12483	75
994	12493	62
995	12505	50
996	12515	37
997	12526	25
998	12541	12
999	12552	0
